T:2021-08-02 11:59:07.233000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.947, NoOfMarkers: 6, m1: (63382,63453) , m2: (68948,63504) , m3: (66250,63637) , m4: (46590,100851) , m5: (80082,111422) , m6: (91254,120923) 
T:2021-08-02 11:59:07.537000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.947, NoOfMarkers: 5, m1: (63381,63453) , m2: (68946,63504) , m3: (66250,63636) , m4: (88349,103933) , m5: (111103,109365) , m6: (38222,109347) 
T:2021-08-02 11:59:08.038000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.947, NoOfMarkers: 6, m1: (63386,63452) , m2: (68951,63503) , m3: (66255,63633) , m4: (111109,113055) , m5: (129417,119518) , m6: (127152,123718) 
T:2021-08-02 11:59:08.556000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.947, NoOfMarkers: 6, m1: (63384,63457) , m2: (68950,63508) , m3: (66256,63644) , m4: (115677,108628) , m5: (105525,110415) , m6: (94293,121239) 
T:2021-08-02 11:59:09.056000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.947, NoOfMarkers: 7, m1: (63376,63459) , m2: (68942,63511) , m3: (66248,63649) , m4: (98350,95010) , m5: (64812,101301) , m6: (122626,112416) 
T:2021-08-02 11:59:09.559000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.947, NoOfMarkers: 9, m1: (63385,63465) , m2: (68949,63515) , m3: (66259,63651) , m4: (91922,104463) , m5: (97733,107136) , m6: (100846,118564) 
T:2021-08-02 11:59:10.057000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 4.947, NoOfMarkers: 4, m1: (63380,63457) , m2: (68946,63508) , m3: (66257,63636) , m4: (17839,115373) , m5: (68719,114155) , m6: (106328,127871) 
T:2021-08-02 11:59:10.157000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 4.947, NoOfMarkers: 4, m1: (63380,63457) , m2: (68946,63508) , m3: (66257,63636) , m4: (17839,115373) , m5: (68719,114155) , m6: (106328,127871) 
T:2021-08-02 11:59:10.559000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 4.947, NoOfMarkers: 9, m1: (63384,63453) , m2: (68950,63505) , m3: (66261,63628) , m4: (120808,99141) , m5: (86295,120404) , m6: (124777,121149) 
T:2021-08-02 11:59:10.569000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 4.947, NoOfMarkers: 9, m1: (63384,63453) , m2: (68950,63505) , m3: (66261,63628) , m4: (120808,99141) , m5: (86295,120404) , m6: (124777,121149) 
T:2021-08-02 11:59:11.060000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.947, NoOfMarkers: 5, m1: (63383,63455) , m2: (68949,63505) , m3: (66258,63635) , m4: (97766,92400) , m5: (103735,96232) , m6: (44926,105140) 
T:2021-08-02 11:59:11.156000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.947, NoOfMarkers: 5, m1: (63383,63455) , m2: (68949,63505) , m3: (66258,63635) , m4: (97766,92400) , m5: (103735,96232) , m6: (44926,105140) 
T:2021-08-02 11:59:11.566000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.947, NoOfMarkers: 10, m1: (63372,63470) , m2: (68937,63521) , m3: (66244,63660) , m4: (102829,100702) , m5: (94639,104896) , m6: (98964,109214) 
T:2021-08-02 11:59:12.060000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.947, NoOfMarkers: 4, m1: (63366,63459) , m2: (68931,63508) , m3: (66237,63646) , m4: (125903,129240) , m5: (94014,114039) , m6: (115236,117756) 
T:2021-08-02 11:59:12.157000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.947, NoOfMarkers: 4, m1: (63366,63459) , m2: (68931,63508) , m3: (66237,63646) , m4: (125903,129240) , m5: (94014,114039) , m6: (115236,117756) 
T:2021-08-02 11:59:12.561000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 4.947, NoOfMarkers: 9, m1: (63350,63450) , m2: (68915,63502) , m3: (66220,63636) , m4: (55730,103004) , m5: (130087,103666) , m6: (116664,109879) 
T:2021-08-02 11:59:13.061000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 4.947, NoOfMarkers: 8, m1: (63353,63451) , m2: (68918,63503) , m3: (66222,63635) , m4: (111679,100884) , m5: (124461,103690) , m6: (125344,105589) 
T:2021-08-02 11:59:13.561000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.947, NoOfMarkers: 8, m1: (63354,63453) , m2: (68921,63504) , m3: (66223,63638) , m4: (128459,113720) , m5: (97147,120608) , m6: (89273,123172) 
T:2021-08-02 11:59:14.060000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.948, NoOfMarkers: 8, m1: (63364,63456) , m2: (68929,63506) , m3: (66233,63641) , m4: (46820,106498) , m5: (126423,111307) , m6: (116356,113896) 
T:2021-08-02 11:59:14.062000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.948, NoOfMarkers: 8, m1: (63364,63456) , m2: (68929,63506) , m3: (66233,63641) , m4: (46820,106498) , m5: (126423,111307) , m6: (116356,113896) 
T:2021-08-02 11:59:14.561000, MarkersValid: True, TrolleyPos: 28.284, Hoistpos: 4.950, NoOfMarkers: 10, m1: (63370,63448) , m2: (68934,63498) , m3: (66239,63633) , m4: (111448,94196) , m5: (80845,95307) , m6: (47457,104256) 
T:2021-08-02 11:59:15.060000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.953, NoOfMarkers: 5, m1: (63374,63448) , m2: (68939,63497) , m3: (66243,63639) , m4: (126558,109839) , m5: (120511,111928) , m6: (88863,103361) 
T:2021-08-02 11:59:15.562000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.955, NoOfMarkers: 7, m1: (63377,63438) , m2: (68941,63488) , m3: (66248,63630) , m4: (72117,113947) , m5: (64386,114050) , m6: (95951,118638) 
T:2021-08-02 11:59:16.060000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.958, NoOfMarkers: 7, m1: (63380,63434) , m2: (68947,63480) , m3: (66254,63618) , m4: (75046,101874) , m5: (122393,102145) , m6: (89616,121648) 
T:2021-08-02 11:59:16.566000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.960, NoOfMarkers: 7, m1: (63380,63411) , m2: (68947,63462) , m3: (66258,63585) , m4: (112546,105758) , m5: (115654,109993) , m6: (36265,121607) 
T:2021-08-02 11:59:17.062000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.963, NoOfMarkers: 8, m1: (63381,63399) , m2: (68947,63449) , m3: (66259,63565) , m4: (125043,108696) , m5: (70613,114126) , m6: (103834,118401) 
T:2021-08-02 11:59:17.156000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.963, NoOfMarkers: 8, m1: (63381,63399) , m2: (68947,63449) , m3: (66259,63565) , m4: (125043,108696) , m5: (70613,114126) , m6: (103834,118401) 
T:2021-08-02 11:59:17.561000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.965, NoOfMarkers: 4, m1: (63374,63378) , m2: (68940,63429) , m3: (66254,63533) , m4: (123982,99732) , m5: (65508,106963) , m6: (38267,118652) 
T:2021-08-02 11:59:18.061000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.967, NoOfMarkers: 11, m1: (63362,63364) , m2: (68928,63411) , m3: (66240,63521) , m4: (124656,96121) , m5: (87296,99801) , m6: (116755,107045) 
T:2021-08-02 11:59:18.559000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 4.970, NoOfMarkers: 8, m1: (63344,63349) , m2: (68908,63397) , m3: (66222,63508) , m4: (93730,92824) , m5: (90732,114450) , m6: (75187,116277) 
T:2021-08-02 11:59:19.061000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 4.972, NoOfMarkers: 5, m1: (63330,63333) , m2: (68897,63383) , m3: (66207,63493) , m4: (97712,109741) , m5: (122694,127251) , m6: (64650,121072) 
T:2021-08-02 11:59:19.156000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 4.972, NoOfMarkers: 5, m1: (63330,63333) , m2: (68897,63383) , m3: (66207,63493) , m4: (97712,109741) , m5: (122694,127251) , m6: (64650,121072) 
T:2021-08-02 11:59:19.560000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 4.975, NoOfMarkers: 7, m1: (63328,63334) , m2: (68895,63382) , m3: (66204,63505) , m4: (69203,92998) , m5: (94652,109601) , m6: (74916,113326) 
T:2021-08-02 11:59:20.062000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 4.978, NoOfMarkers: 8, m1: (63314,63339) , m2: (68880,63389) , m3: (66186,63512) , m4: (46675,94243) , m5: (129196,110012) , m6: (94882,111831) 
T:2021-08-02 11:59:20.155000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 4.978, NoOfMarkers: 8, m1: (63314,63339) , m2: (68880,63389) , m3: (66186,63512) , m4: (46675,94243) , m5: (129196,110012) , m6: (94882,111831) 
T:2021-08-02 11:59:20.562000, MarkersValid: True, TrolleyPos: 28.284, Hoistpos: 4.983, NoOfMarkers: 4, m1: (63320,63349) , m2: (68888,63400) , m3: (66194,63528) , m4: (41987,100616) , m5: (120277,108917) , m6: (116896,116423) 
T:2021-08-02 11:59:21.063000, MarkersValid: True, TrolleyPos: 28.284, Hoistpos: 4.993, NoOfMarkers: 9, m1: (63321,63364) , m2: (68888,63411) , m3: (66193,63547) , m4: (75466,98456) , m5: (111983,103181) , m6: (110479,105957) 
T:2021-08-02 11:59:21.157000, MarkersValid: True, TrolleyPos: 28.284, Hoistpos: 4.993, NoOfMarkers: 9, m1: (63321,63364) , m2: (68888,63411) , m3: (66193,63547) , m4: (75466,98456) , m5: (111983,103181) , m6: (110479,105957) 
T:2021-08-02 11:59:21.568000, MarkersValid: True, TrolleyPos: 28.284, Hoistpos: 5.006, NoOfMarkers: 9, m1: (63349,63362) , m2: (68918,63410) , m3: (66226,63544) , m4: (8835,98062) , m5: (94184,109986) , m6: (115048,110676) 
T:2021-08-02 11:59:22.068000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 5.015, NoOfMarkers: 8, m1: (63379,63318) , m2: (68948,63362) , m3: (66263,63476) , m4: (107189,97420) , m5: (84525,100211) , m6: (117417,124892) 
T:2021-08-02 11:59:22.070000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 5.015, NoOfMarkers: 8, m1: (63379,63318) , m2: (68948,63362) , m3: (66263,63476) , m4: (107189,97420) , m5: (84525,100211) , m6: (117417,124892) 
T:2021-08-02 11:59:22.569000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 5.015, NoOfMarkers: 9, m1: (63332,63300) , m2: (68903,63341) , m3: (66206,63451) , m4: (112586,95652) , m5: (53058,99217) , m6: (67487,107473) 
T:2021-08-02 11:59:23.068000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 5.015, NoOfMarkers: 7, m1: (63326,63308) , m2: (68895,63355) , m3: (66196,63478) , m4: (85723,105023) , m5: (123679,111184) , m6: (57289,117952) 
T:2021-08-02 11:59:23.572001, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 5.015, NoOfMarkers: 5, m1: (63322,63366) , m2: (68891,63414) , m3: (66192,63543) , m4: (120971,122399) , m5: (116675,126333) , m6: (94372,106747) 
T:2021-08-02 11:59:24.072000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 5.015, NoOfMarkers: 6, m1: (63325,63367) , m2: (68893,63415) , m3: (66194,63540) , m4: (88399,103424) , m5: (67500,107474) , m6: (91255,121997) 
T:2021-08-02 11:59:24.573000, MarkersValid: False, TrolleyPos: 28.285, Hoistpos: 5.015, NoOfMarkers: 7, m1: (63329,63385) , m2: (68897,63436) , m3: (66197,63561) , m4: (95024,99662) , m5: (128133,105561) , m6: (110469,112081) 
T:2021-08-02 11:59:25.074000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 5.015, NoOfMarkers: 6, m1: (63334,63408) , m2: (68904,63459) , m3: (66204,63588) , m4: (124740,101369) , m5: (99864,101518) , m6: (101418,126186) 
T:2021-08-02 11:59:25.579000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 5.015, NoOfMarkers: 7, m1: (63333,63404) , m2: (68902,63455) , m3: (66203,63586) , m4: (127569,100133) , m5: (126102,107195) , m6: (128429,121494) 
T:2021-08-02 11:59:26.071000, MarkersValid: True, TrolleyPos: 28.285, Hoistpos: 5.015, NoOfMarkers: 6, m1: (63362,63406) , m2: (68931,63458) , m3: (66237,63583) , m4: (112393,101239) , m5: (101779,101903) , m6: (93003,112013) 
T:2021-08-02 11:59:26.574000, MarkersValid: True, TrolleyPos: 28.286, Hoistpos: 5.014, NoOfMarkers: 5, m1: (63347,63389) , m2: (68917,63441) , m3: (66223,63562) , m4: (99667,95343) , m5: (128442,124752) , m6: (90495,110393) 
T:2021-08-02 11:59:27.072999, MarkersValid: True, TrolleyPos: 28.290, Hoistpos: 4.915, NoOfMarkers: 6, m1: (63341,63382) , m2: (68903,63439) , m3: (66209,63577) , m4: (117522,99788) , m5: (114018,103606) , m6: (95505,117470) 
